seriesuid,point_index,nodule_index,z,y,x,rel_z,rel_y,rel_x,grid_h,grid_w,estimated_depth
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,2,0,189.0,83.0,102.0,0.7325581395348837,0.48823529411764705,0.41295546558704455,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,3,0,189.0,99.0,102.0,0.7325581395348837,0.5823529411764706,0.41295546558704455,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,4,0,189.0,91.0,89.0,0.7325581395348837,0.5352941176470588,0.3603238866396761,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,5,1,168.0,67.5,186.0,0.6511627906976745,0.39705882352941174,0.7530364372469636,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,6,1,168.0,67.0,177.0,0.6511627906976745,0.3941176470588235,0.7165991902834008,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,7,1,168.0,60.0,190.0,0.6511627906976745,0.35294117647058826,0.7692307692307693,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,8,1,168.0,75.0,191.0,0.6511627906976745,0.4411764705882353,0.7732793522267206,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,9,1,168.0,68.0,177.0,0.6511627906976745,0.4,0.7165991902834008,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,10,2,80.0,114.89573669433594,184.58767700195312,0.31007751937984496,0.6758572746725643,0.7473185303722799,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,11,2,80.0,114.0,177.0,0.31007751937984496,0.6705882352941176,0.7165991902834008,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,12,2,80.0,108.0,188.0,0.31007751937984496,0.6352941176470588,0.7611336032388664,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,13,2,80.0,121.0,189.0,0.31007751937984496,0.711764705882353,0.7651821862348178,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,14,2,80.0,115.0,177.0,0.31007751937984496,0.6764705882352942,0.7165991902834008,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,15,3,204.0,110.64151000976562,71.07546997070312,0.7906976744186046,0.6508324118221507,0.2877549391526442,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,16,3,204.0,110.0,68.0,0.7906976744186046,0.6470588235294118,0.27530364372469635,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,17,3,204.0,108.0,73.0,0.7906976744186046,0.6352941176470588,0.29554655870445345,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,18,3,204.0,114.0,73.0,0.7906976744186046,0.6705882352941176,0.29554655870445345,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,19,3,204.0,111.0,67.0,0.7906976744186046,0.6529411764705882,0.27125506072874495,171,248,259.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,0,0,139.0,124.83333587646484,208.15475463867188,0.5265151515151515,0.5944444565545945,0.7487581102110499,211,279,265.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,1,0,139.0,124.0,204.0,0.5265151515151515,0.5904761904761905,0.7338129496402878,211,279,265.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,2,0,139.0,121.0,211.0,0.5265151515151515,0.5761904761904761,0.7589928057553957,211,279,265.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,3,0,139.0,129.0,210.0,0.5265151515151515,0.6142857142857143,0.7553956834532374,211,279,265.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,4,0,139.0,125.0,203.0,0.5265151515151515,0.5952380952380952,0.7302158273381295,211,279,265.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,0,0,274.0,126.85511016845703,252.3295440673828,0.8616352201257862,0.5177759598712532,0.7716499818574398,246,328,319.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,1,0,274.0,126.0,242.0,0.8616352201257862,0.5142857142857142,0.7400611620795107,246,328,319.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,2,0,274.0,118.0,258.0,0.8616352201257862,0.4816326530612245,0.7889908256880734,246,328,319.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,3,0,274.0,136.0,257.0,0.8616352201257862,0.5551020408163265,0.7859327217125383,246,328,319.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,4,0,274.0,127.0,242.0,0.8616352201257862,0.5183673469387755,0.7400611620795107,246,328,319.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,0,0,91.0,89.67857360839844,45.595237731933594,0.3872340425531915,0.3950597956317112,0.14474678645058284,228,316,236.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,1,0,91.0,89.0,41.0,0.3872340425531915,0.3920704845814978,0.13015873015873017,228,316,236.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,2,0,91.0,86.0,48.0,0.3872340425531915,0.3788546255506608,0.1523809523809524,228,316,236.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,3,0,91.0,94.0,48.0,0.3872340425531915,0.41409691629955947,0.1523809523809524,228,316,236.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,4,0,91.0,90.0,41.0,0.3872340425531915,0.3964757709251101,0.13015873015873017,228,316,236.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,0,0,97.0,136.94667053222656,32.3466682434082,0.41452991452991456,0.6253272627042309,0.11039818513108601,220,294,235.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,1,0,97.0,136.0,28.0,0.41452991452991456,0.6210045662100456,0.09556313993174062,220,294,235.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,2,0,97.0,133.0,35.0,0.41452991452991456,0.6073059360730594,0.11945392491467577,220,294,235.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,3,0,97.0,140.0,35.0,0.41452991452991456,0.639269406392694,0.11945392491467577,220,294,235.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228,4,0,97.0,137.0,28.0,0.41452991452991456,0.6255707762557078,0.09556313993174062,220,294,235.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,0,0,84.0,124.6500015258789,138.75,0.3346613545816733,0.6170792154746481,0.4834494773519164,203,288,252.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,1,0,84.0,124.0,136.0,0.3346613545816733,0.6138613861386139,0.4738675958188153,203,288,252.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,2,0,84.0,122.0,141.0,0.3346613545816733,0.6039603960396039,0.4912891986062718,203,288,252.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,3,0,84.0,127.0,140.0,0.3346613545816733,0.6287128712871287,0.4878048780487805,203,288,252.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,4,0,84.0,125.0,136.0,0.3346613545816733,0.6188118811881188,0.4738675958188153,203,288,252.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,0,0,98.0,165.5,57.5,0.4100418410041841,0.8530927835051546,0.20833333333333334,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,1,0,98.0,165.0,55.0,0.4100418410041841,0.8505154639175257,0.19927536231884058,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,2,0,98.0,163.0,59.0,0.4100418410041841,0.8402061855670103,0.213768115942029,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,3,0,98.0,168.0,59.0,0.4100418410041841,0.865979381443299,0.213768115942029,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,4,0,98.0,166.0,55.0,0.4100418410041841,0.8556701030927835,0.19927536231884058,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,5,1,153.0,69.4000015258789,57.400001525878906,0.6401673640167364,0.3577319666282418,0.20797102002130038,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,6,1,153.0,69.0,56.0,0.6401673640167364,0.3556701030927835,0.2028985507246377,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,7,1,153.0,68.0,58.0,0.6401673640167364,0.35051546391752575,0.21014492753623187,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,8,1,153.0,70.0,59.0,0.6401673640167364,0.36082474226804123,0.213768115942029,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,9,1,153.0,70.0,56.0,0.6401673640167364,0.36082474226804123,0.2028985507246377,195,277,240.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,0,0,143.0,120.75675964355469,53.75675582885742,0.4782608695652174,0.638924654198702,0.2099873274564743,190,257,300.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,1,0,143.0,120.0,51.0,0.4782608695652174,0.6349206349206349,0.19921875,190,257,300.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,2,0,143.0,118.0,55.0,0.4782608695652174,0.6243386243386243,0.21484375,190,257,300.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,3,0,143.0,123.0,56.0,0.4782608695652174,0.6507936507936508,0.21875,190,257,300.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,4,0,143.0,121.0,51.0,0.4782608695652174,0.6402116402116402,0.19921875,190,257,300.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,0,0,146.0,104.28378295898438,51.716217041015625,0.5195729537366548,0.543144702911377,0.18602955770149504,193,279,282.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,1,0,146.0,104.0,45.0,0.5195729537366548,0.5416666666666666,0.1618705035971223,193,279,282.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,2,0,146.0,99.0,55.0,0.5195729537366548,0.515625,0.19784172661870503,193,279,282.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,3,0,146.0,110.0,55.0,0.5195729537366548,0.5729166666666666,0.19784172661870503,193,279,282.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,4,0,146.0,105.0,45.0,0.5195729537366548,0.546875,0.1618705035971223,193,279,282.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943,0,0,75.0,29.571428298950195,64.42857360839844,0.2613240418118467,0.13690476064328794,0.2013392925262451,217,321,288.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943,1,0,75.0,29.0,56.0,0.2613240418118467,0.13425925925925927,0.175,217,321,288.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943,2,0,75.0,22.0,69.0,0.2613240418118467,0.10185185185185185,0.215625,217,321,288.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943,3,0,75.0,37.0,68.0,0.2613240418118467,0.1712962962962963,0.2125,217,321,288.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943,4,0,75.0,30.0,56.0,0.2613240418118467,0.1388888888888889,0.175,217,321,288.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,0,0,92.0,178.7142791748047,61.5,0.40707964601769914,0.8390341745295995,0.2261029411764706,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,1,0,92.0,178.0,58.0,0.40707964601769914,0.8356807511737089,0.21323529411764705,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,2,0,92.0,176.0,64.0,0.40707964601769914,0.8262910798122066,0.23529411764705882,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,3,0,92.0,182.0,63.0,0.40707964601769914,0.8544600938967136,0.23161764705882354,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,4,0,92.0,179.0,58.0,0.40707964601769914,0.8403755868544601,0.21323529411764705,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,5,1,95.0,112.0,22.7560977935791,0.42035398230088494,0.5258215962441315,0.08366212424109964,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,6,1,95.0,111.0,20.0,0.42035398230088494,0.5211267605633803,0.07352941176470588,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,7,1,95.0,109.0,24.0,0.42035398230088494,0.5117370892018779,0.08823529411764706,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,8,1,95.0,115.0,24.0,0.42035398230088494,0.539906103286385,0.08823529411764706,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,9,1,95.0,112.0,20.0,0.42035398230088494,0.5258215962441315,0.07352941176470588,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,10,2,104.0,176.6666717529297,212.8000030517578,0.46017699115044247,0.8294209941452098,0.7823529523961684,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,11,2,104.0,176.0,210.0,0.46017699115044247,0.8262910798122066,0.7720588235294118,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,12,2,104.0,175.0,215.0,0.46017699115044247,0.8215962441314554,0.7904411764705882,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,13,2,104.0,179.0,214.0,0.46017699115044247,0.8403755868544601,0.7867647058823529,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,14,2,104.0,177.0,210.0,0.46017699115044247,0.8309859154929577,0.7720588235294118,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,15,3,59.0,79.84615325927734,231.61538696289062,0.2610619469026549,0.3748645692923819,0.8515271579518038,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,16,3,59.0,79.0,229.0,0.2610619469026549,0.37089201877934275,0.8419117647058824,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,17,3,59.0,78.0,233.0,0.2610619469026549,0.36619718309859156,0.8566176470588235,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,18,3,59.0,82.0,233.0,0.2610619469026549,0.38497652582159625,0.8566176470588235,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,19,3,59.0,80.0,229.0,0.2610619469026549,0.3755868544600939,0.8419117647058824,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,20,4,88.0,83.25,252.75,0.3893805309734513,0.3908450704225352,0.9292279411764706,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,21,4,88.0,83.0,251.0,0.3893805309734513,0.38967136150234744,0.9227941176470589,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,22,4,88.0,81.0,253.0,0.3893805309734513,0.38028169014084506,0.9301470588235294,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,23,4,88.0,85.0,254.0,0.3893805309734513,0.39906103286384975,0.9338235294117647,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,24,4,88.0,84.0,251.0,0.3893805309734513,0.39436619718309857,0.9227941176470589,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,25,5,74.0,192.46665954589844,83.86666870117188,0.3274336283185841,0.9035993405910725,0.3083333408131319,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,26,5,74.0,192.0,82.0,0.3274336283185841,0.9014084507042254,0.3014705882352941,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,27,5,74.0,191.0,85.0,0.3274336283185841,0.8967136150234741,0.3125,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,28,5,74.0,194.0,85.0,0.3274336283185841,0.9107981220657277,0.3125,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306,29,5,74.0,193.0,82.0,0.3274336283185841,0.9061032863849765,0.3014705882352941,214,273,227.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,0,0,82.0,171.3030242919922,48.90909194946289,0.2837370242214533,0.8695584989441227,0.15726396125229225,198,312,290.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,1,0,82.0,171.0,46.0,0.2837370242214533,0.868020304568528,0.14790996784565916,198,312,290.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,2,0,82.0,169.0,50.0,0.2837370242214533,0.8578680203045685,0.1607717041800643,198,312,290.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,3,0,82.0,173.0,51.0,0.2837370242214533,0.8781725888324873,0.1639871382636656,198,312,290.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,4,0,82.0,172.0,46.0,0.2837370242214533,0.8730964467005076,0.14790996784565916,198,312,290.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,0,0,196.0,174.58621215820312,206.27586364746094,0.7075812274368231,0.7366506842118276,0.6269783089588479,238,330,278.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,1,0,196.0,174.0,204.0,0.7075812274368231,0.7341772151898734,0.6200607902735562,238,330,278.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,2,0,196.0,172.0,207.0,0.7075812274368231,0.7257383966244726,0.6291793313069909,238,330,278.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,3,0,196.0,177.0,208.0,0.7075812274368231,0.7468354430379747,0.6322188449848024,238,330,278.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,4,0,196.0,175.0,204.0,0.7075812274368231,0.7383966244725738,0.6200607902735562,238,330,278.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,0,0,85.0,107.76551818847656,205.917236328125,0.4292929292929293,0.579384506389659,0.9031457733689693,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,1,0,85.0,107.0,200.0,0.4292929292929293,0.5752688172043011,0.8771929824561403,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,2,0,85.0,102.0,209.0,0.4292929292929293,0.5483870967741935,0.9166666666666666,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,3,0,85.0,113.0,209.0,0.4292929292929293,0.6075268817204301,0.9166666666666666,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,4,0,85.0,108.0,200.0,0.4292929292929293,0.5806451612903226,0.8771929824561403,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,5,1,71.0,136.1999969482422,196.1999969482422,0.35858585858585856,0.732258048108829,0.860526302404571,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,6,1,71.0,136.0,194.0,0.35858585858585856,0.7311827956989247,0.8508771929824561,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,7,1,71.0,134.0,196.0,0.35858585858585856,0.7204301075268817,0.8596491228070176,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,8,1,71.0,137.0,198.0,0.35858585858585856,0.7365591397849462,0.868421052631579,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,9,1,71.0,137.0,195.0,0.35858585858585856,0.7365591397849462,0.8552631578947368,187,229,199.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609,0,0,197.0,135.5986328125,99.14286041259766,0.652317880794702,0.6779931640625,0.3618352569802834,201,275,303.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609,1,0,197.0,135.0,93.0,0.652317880794702,0.675,0.33941605839416056,201,275,303.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609,2,0,197.0,130.0,103.0,0.652317880794702,0.65,0.3759124087591241,201,275,303.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609,3,0,197.0,141.0,102.0,0.652317880794702,0.705,0.3722627737226277,201,275,303.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609,4,0,197.0,136.0,93.0,0.652317880794702,0.68,0.33941605839416056,201,275,303.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,0,0,96.0,182.7894744873047,311.0,0.31475409836065577,0.8088029844571004,0.8735955056179775,227,357,306.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,1,0,96.0,182.0,309.0,0.31475409836065577,0.8053097345132744,0.8679775280898876,227,357,306.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,2,0,96.0,181.0,312.0,0.31475409836065577,0.8008849557522124,0.8764044943820225,227,357,306.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,3,0,96.0,184.0,312.0,0.31475409836065577,0.8141592920353983,0.8764044943820225,227,357,306.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,4,0,96.0,183.0,309.0,0.31475409836065577,0.8097345132743363,0.8679775280898876,227,357,306.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,0,0,232.0,138.15492248535156,89.4507064819336,0.8888888888888888,0.6167630468096051,0.31386212800678454,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,1,0,232.0,138.0,85.0,0.8888888888888888,0.6160714285714286,0.2982456140350877,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,2,0,232.0,134.0,91.0,0.8888888888888888,0.5982142857142857,0.3192982456140351,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,3,0,232.0,142.0,92.0,0.8888888888888888,0.6339285714285714,0.32280701754385965,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,4,0,232.0,139.0,85.0,0.8888888888888888,0.6205357142857143,0.2982456140350877,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,5,1,126.0,167.90908813476562,53.09090805053711,0.4827586206896552,0.7495941434587751,0.18628388789662143,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,6,1,126.0,167.0,51.0,0.4827586206896552,0.7455357142857143,0.17894736842105263,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,7,1,126.0,166.0,55.0,0.4827586206896552,0.7410714285714286,0.19298245614035087,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,8,1,126.0,170.0,54.0,0.4827586206896552,0.7589285714285714,0.18947368421052632,225,286,262.0
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,9,1,126.0,168.0,51.0,0.4827586206896552,0.75,0.17894736842105263,225,286,262.0
